start,end,fighter,action,side,target,direction,outcome,commitment,round,notes
00:14.320,00:14.500,RED,JAB,,HEAD,,LANDED,,,
00:14.710,00:14.890,RED,JAB,,HEAD,,MISSED,,,
00:15.000,00:15.200,BLUE,HOOK,LEAD,HEAD,,MISSED,,,
00:15.050,00:15.230,RED,CROSS,,HEAD,,BLOCKED,,,
00:15.420,00:15.600,RED,SLIP,,,LEFT,,,,"slips BLUE's hook, then counters"
00:16.010,00:16.190,RED,JAB,,BODY,,BLOCKED,,,
00:16.400,00:16.580,RED,CROSS,,HEAD,,LANDED,,,
00:46.400,00:46.580,RED,JAB,,HEAD,,MISSED,PROBE,,measuring distance
01:45.000,01:45.180,BLUE,JAB,,HEAD,,BLOCKED,,,
01:45.400,01:45.620,BLUE,CROSS,,BODY,,LANDED,,,
04:19.500,04:19.650,RED,FEINT,REAR,BODY,,,,2,feints the body...
04:20.000,04:20.180,RED,JAB,,HEAD,,UNKNOWN,PROBE,2,
04:20.350,04:20.600,RED,HOOK,LEAD,HEAD,,LANDED,,2,...then goes upstairs
05:00.000,05:00.250,BLUE,UPPERCUT,REAR,HEAD,,MISSED,,,
